fund_code,fund_name,fund_name_clean,fund_status,fund_detail_url,fund_domicile,risk_level,nav,nav_date,perf_1d_pct,perf_1m_pct,perf_3m_pct,perf_6m_pct,perf_1y_pct,perf_ytd_pct,annual_return_date,annual_return_2021_pct,annual_return_2022_pct,annual_return_2023_pct,annual_return_2024_pct,annual_return_2025_pct,doc_prospectus,doc_annual_report,doc_quarterly_report,doc_semi_annual_report,doc_monthly_report,doc_fund_contract,doc_product_summary,doc_offering_announcement,doc_all_announcements,xueqiu_link
002593,富国美丽中国混合型证券投资基金（暂停申购）,富国美丽中国混合型证券投资基金,suspended,Overview.aspx?code=002593,Mainland Securities Fund,4,2.719,2026-06-08,-1.91,-5.39,-7.30,+9.15,+29.23,+5.27,2026-06-08,+13.83,-23.31,-10.47,-2.84,+23.83,Casdocument.aspx?documentid=663477425,Casdocument.aspx?documentid=653238768,Casdocument.aspx?documentid=656888770,Casdocument.aspx?documentid=614534947,,Casdocument.aspx?documentid=456419294,Casdocument.aspx?documentid=663478792,Casdocument.aspx?documentid=658036328,FundDocuments.aspx?query=all&fund=002593,https://danjuanfunds.com/funding/002593
002656,[仅电子渠道]南方创业板交易型开放式指数证券投资基金联接基金A类,南方创业板交易型开放式指数证券投资基金联接基金A类,online_only,Overview.aspx?code=002656,Mainland Securities Fund,5,1.9607,2026-06-08,-3.50,+0.62,+17.80,+19.18,+83.38,+18.71,2026-06-08,+12.51,-27.76,-17.74,+15.00,+48.96,Casdocument.aspx?documentid=661823833,Casdocument.aspx?documentid=653254437,Casdocument.aspx?documentid=656939228,Casdocument.aspx?documentid=614541946,,Casdocument.aspx?documentid=554888974,Casdocument.aspx?documentid=661820448,Casdocument.aspx?documentid=658042018,FundDocuments.aspx?query=all&fund=002656,https://danjuanfunds.com/funding/002656
002910,易方达供给改革灵活配置混合型证券投资基金,易方达供给改革灵活配置混合型证券投资基金,,Overview.aspx?code=002910,Mainland Securities Fund,5,5.5415,2026-06-08,-3.37,+9.21,+27.08,+57.56,+124.97,+50.38,2026-06-08,+40.87,+4.44,-0.15,-3.47,+48.00,Casdocument.aspx?documentid=663320350,Casdocument.aspx?documentid=653284762,Casdocument.aspx?documentid=656808137,Casdocument.aspx?documentid=614557427,,Casdocument.aspx?documentid=658440375,Casdocument.aspx?documentid=663320001,Casdocument.aspx?documentid=658049004,FundDocuments.aspx?query=all&fund=002910,https://danjuanfunds.com/funding/002910
002925,[仅电子渠道]广发集源债券型证券投资基金A类,广发集源债券型证券投资基金A类,online_only,Overview.aspx?code=002925,Mainland Securities Fund,3,1.1793,2026-06-08,-0.17,-0.17,+0.06,+0.95,+6.23,+1.00,2026-06-08,+7.96,+0.25,+4.68,+3.64,+6.50,Casdocument.aspx?documentid=638134601,Casdocument.aspx?documentid=652935043,Casdocument.aspx?documentid=656817205,Casdocument.aspx?documentid=614235136,,Casdocument.aspx?documentid=381317718,Casdocument.aspx?documentid=588047558,Casdocument.aspx?documentid=658037940,FundDocuments.aspx?query=all&fund=002925,https://danjuanfunds.com/funding/002925
002943,[仅电子渠道]广发多因子灵活配置混合型证券投资基金（暂停申购）,广发多因子灵活配置混合型证券投资基金,"online_only,suspended",Overview.aspx?code=002943,Mainland Securities Fund,4,5.323,2026-06-08,-3.01,-2.54,+7.47,+12.54,+38.04,+8.27,2026-06-08,+89.03,-18.45,-3.41,+17.41,+38.78,Casdocument.aspx?documentid=657278974,Casdocument.aspx?documentid=652944057,Casdocument.aspx?documentid=656824400,Casdocument.aspx?documentid=614235047,,Casdocument.aspx?documentid=456430538,Casdocument.aspx?documentid=657280540,Casdocument.aspx?documentid=658036147,FundDocuments.aspx?query=all&fund=002943,https://danjuanfunds.com/funding/002943
002963,易方达黄金交易型开放式证券投资基金联接基金C类,易方达黄金交易型开放式证券投资基金联接基金C类,,Overview.aspx?code=002963,Mainland Securities Fund,5,2.9975,2026-06-08,-3.38,-8.91,-17.54,-1.69,+19.33,-3.71,2026-06-08,-5.07,+8.60,+15.58,+25.70,+55.24,Casdocument.aspx?documentid=637586209,Casdocument.aspx?documentid=653284795,Casdocument.aspx?documentid=656813239,Casdocument.aspx?documentid=614556640,,Casdocument.aspx?documentid=258099354,Casdocument.aspx?documentid=661295501,Casdocument.aspx?documentid=658045499,FundDocuments.aspx?query=all&fund=002963,https://danjuanfunds.com/funding/002963
003156,招商招悦纯债债券型证券投资基金A类,招商招悦纯债债券型证券投资基金A类,,Overview.aspx?code=003156,Mainland Securities Fund,3,1.1815,2026-06-08,-0.08,+0.43,+1.20,+2.29,+2.61,+2.01,2026-06-08,+7.17,+2.05,+5.62,+6.26,+1.16,Casdocument.aspx?documentid=612232190,Casdocument.aspx?documentid=653210625,Casdocument.aspx?documentid=656855096,Casdocument.aspx?documentid=613776070,,Casdocument.aspx?documentid=557284881,Casdocument.aspx?documentid=612231693,Casdocument.aspx?documentid=658048813,FundDocuments.aspx?query=all&fund=003156,https://danjuanfunds.com/funding/003156
003157,招商招悦纯债债券型证券投资基金C类,招商招悦纯债债券型证券投资基金C类,,Overview.aspx?code=003157,Mainland Securities Fund,3,1.1716,2026-06-08,-0.08,+0.42,+1.15,+2.20,+2.39,+1.91,2026-06-08,+6.96,+1.85,+5.41,+6.05,+0.97,Casdocument.aspx?documentid=612232190,Casdocument.aspx?documentid=653210625,Casdocument.aspx?documentid=656855096,Casdocument.aspx?documentid=613776070,,Casdocument.aspx?documentid=557284881,Casdocument.aspx?documentid=612231671,Casdocument.aspx?documentid=658048813,FundDocuments.aspx?query=all&fund=003157,https://danjuanfunds.com/funding/003157
003243,摩根中国世纪灵活配置混合型证券投资基金 （暂停申购）,摩根中国世纪灵活配置混合型证券投资基金,suspended,Overview.aspx?code=003243,Mainland Securities Fund,5,2.2712,2026-06-05,-3.51,-4.10,+11.46,+20.02,+69.58,+14.88,2026-06-05,-19.63,-21.99,-16.71,+3.84,+64.39,Casdocument.aspx?documentid=620832961,Casdocument.aspx?documentid=653344776,Casdocument.aspx?documentid=656877965,Casdocument.aspx?documentid=613810301,,Casdocument.aspx?documentid=577417690,Casdocument.aspx?documentid=620812618,Casdocument.aspx?documentid=658043205,FundDocuments.aspx?query=all&fund=003243,https://danjuanfunds.com/funding/003243
003629,摩根全球多元配置证券投资基金(QDII-FOF)A类,摩根全球多元配置证券投资基金A类,qdii,Overview.aspx?code=003629,Mainland Securities Fund,3,1.8682,2026-06-05,-0.73,+1.76,+3.00,+1.72,+8.60,+2.25,2026-06-05,+7.74,-7.90,+13.37,+10.54,+8.05,Casdocument.aspx?documentid=620832959,Casdocument.aspx?documentid=653344772,Casdocument.aspx?documentid=656854717,Casdocument.aspx?documentid=613810311,,Casdocument.aspx?documentid=577417677,Casdocument.aspx?documentid=620812633,Casdocument.aspx?documentid=658037015,FundDocuments.aspx?query=all&fund=003629,https://danjuanfunds.com/funding/003629
003877,[仅电子渠道]富国久利稳健配置混合型证券投资基金A类,富国久利稳健配置混合型证券投资基金A类,online_only,Overview.aspx?code=003877,Mainland Securities Fund,3,1.3257,2026-06-08,-0.72,-2.97,-2.57,+2.19,+20.95,+1.35,2026-06-08,+3.78,-11.68,+4.53,+12.00,+37.01,Casdocument.aspx?documentid=661819887,Casdocument.aspx?documentid=653238889,Casdocument.aspx?documentid=656892032,Casdocument.aspx?documentid=614534801,,Casdocument.aspx?documentid=605529758,Casdocument.aspx?documentid=661819988,Casdocument.aspx?documentid=658041250,FundDocuments.aspx?query=all&fund=003877,https://danjuanfunds.com/funding/003877
003878,[仅电子渠道]富国久利稳健配置混合型证券投资基金C类,富国久利稳健配置混合型证券投资基金C类,online_only,Overview.aspx?code=003878,Mainland Securities Fund,3,1.3247,2026-06-08,-0.72,-2.97,-2.57,+2.18,+20.94,+1.34,2026-06-08,+3.36,-12.02,+4.28,+11.98,+37.01,Casdocument.aspx?documentid=661819887,Casdocument.aspx?documentid=653238889,Casdocument.aspx?documentid=656892032,Casdocument.aspx?documentid=614534801,,Casdocument.aspx?documentid=605529758,Casdocument.aspx?documentid=661819918,Casdocument.aspx?documentid=658041250,FundDocuments.aspx?query=all&fund=003878,https://danjuanfunds.com/funding/003878
004069,[仅电子渠道]南方中证全指证券公司交易型开放式指数证券投资基金联接基金A类,南方中证全指证券公司交易型开放式指数证券投资基金联接基金A类,online_only,Overview.aspx?code=004069,Mainland Securities Fund,5,1.0828,2026-06-08,-1.48,-7.01,-11.01,-17.10,-5.90,-16.72,2026-06-08,-3.20,-24.95,+4.19,+30.34,+3.83,Casdocument.aspx?documentid=631654044,Casdocument.aspx?documentid=653254428,Casdocument.aspx?documentid=656939097,Casdocument.aspx?documentid=614542032,,Casdocument.aspx?documentid=502656394,Casdocument.aspx?documentid=631651819,Casdocument.aspx?documentid=658045280,FundDocuments.aspx?query=all&fund=004069,https://danjuanfunds.com/funding/004069
004070,[仅电子渠道]南方中证全指证券公司交易型开放式指数证券投资基金联接基金C类,南方中证全指证券公司交易型开放式指数证券投资基金联接基金C类,online_only,Overview.aspx?code=004070,Mainland Securities Fund,5,1.0432,2026-06-08,-1.49,-7.04,-11.10,-17.27,-6.29,-16.87,2026-06-08,-3.59,-25.25,+3.77,+29.82,+3.42,Casdocument.aspx?documentid=631654044,Casdocument.aspx?documentid=653254428,Casdocument.aspx?documentid=656939097,Casdocument.aspx?documentid=614542032,,Casdocument.aspx?documentid=502656394,Casdocument.aspx?documentid=631651918,Casdocument.aspx?documentid=658045280,FundDocuments.aspx?query=all&fund=004070,https://danjuanfunds.com/funding/004070
