fund_code,fund_name,fund_name_clean,fund_status,fund_detail_url,fund_domicile,risk_level,nav,nav_date,perf_1d_pct,perf_1m_pct,perf_3m_pct,perf_6m_pct,perf_1y_pct,perf_ytd_pct,annual_return_date,annual_return_2021_pct,annual_return_2022_pct,annual_return_2023_pct,annual_return_2024_pct,annual_return_2025_pct,doc_prospectus,doc_annual_report,doc_quarterly_report,doc_semi_annual_report,doc_monthly_report,doc_fund_contract,doc_product_summary,doc_offering_announcement,doc_all_announcements,xueqiu_link
016174,汇丰晋信策略优选混合型证券投资基金A类（暂停申购）,汇丰晋信策略优选混合型证券投资基金A类,suspended,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=016174,Mainland Securities Fund,4,1.4335,2026-05-28,-0.03,+2.70,-3.94,-2.45,+18.51,-1.53,2026-05-28,,,-4.45,+10.09,+27.55,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=647815620,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653229210,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656920681,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613816030,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=558523208,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=647817974,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=401205217,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=016174,https://danjuanfunds.com/funding/016174
016175,汇丰晋信策略优选混合型证券投资基金C类（暂停申购）,汇丰晋信策略优选混合型证券投资基金C类,suspended,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=016175,Mainland Securities Fund,4,1.4083,2026-05-28,-0.04,+2.66,-4.08,-2.71,+17.89,-1.74,2026-05-28,,,-4.92,+9.64,+26.91,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=647815620,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653229210,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656920681,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613816030,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=558523208,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=647817970,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=401205217,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=016175,https://danjuanfunds.com/funding/016175
016285,摩根标普港股通低波红利指数型证券投资基金A类,摩根标普港股通低波红利指数型证券投资基金A类,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=016285,Mainland Securities Fund,3,0.9655,2026-05-28,-1.13,-6.71,-10.59,-10.25,+8.22,-9.25,2026-05-28,,,-10.92,-0.30,+16.07,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=647815577,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653240451,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656918459,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613823960,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=558523240,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=647817957,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=405916574,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=016285,https://danjuanfunds.com/funding/016285
016286,摩根标普港股通低波红利指数型证券投资基金C类,摩根标普港股通低波红利指数型证券投资基金C类,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=016286,Mainland Securities Fund,3,0.9478,2026-05-28,-1.13,-6.75,-10.69,-10.48,+7.67,-9.43,2026-05-28,,,-11.35,-0.82,+15.48,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=647815577,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653240451,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656918459,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613823960,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=558523240,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=647817961,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=405916574,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=016286,https://danjuanfunds.com/funding/016286
016419,[仅电子渠道]国泰安璟债券型证券投资基金A类,国泰安璟债券型证券投资基金A类,online_only,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=016419,Mainland Securities Fund,3,1.072,2026-05-28,-0.09,-0.05,+0.21,+1.56,+5.42,+1.10,2026-05-28,,,,+5.86,+5.26,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632710098,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=652948226,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656939485,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=614259557,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=422063983,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632717761,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=422063979,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=016419,https://danjuanfunds.com/funding/016419
016420,[仅电子渠道]国泰安璟债券型证券投资基金C类,国泰安璟债券型证券投资基金C类,online_only,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=016420,Mainland Securities Fund,3,1.0707,2026-05-28,-0.09,-0.06,+0.19,+1.53,+5.32,+1.08,2026-05-28,,,,+5.78,+5.15,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632710098,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=652948226,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656939485,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=614259557,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=422063983,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632717729,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=422063979,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=016420,https://danjuanfunds.com/funding/016420
016532,嘉实纳斯达克100交易型开放式指数证券投资基金发起式联接基金(QDII)A类人民币基金份额,嘉实纳斯达克100交易型开放式指数证券投资基金发起式联接基金A类人民币基金份额,qdii,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=016532,Mainland Securities Fund,4,2.2124,2026-05-27,-0.06,+9.00,+17.93,+14.10,+29.90,+15.03,2026-05-27,,,+52.15,+19.63,+15.13,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=609890998,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=652975706,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656941325,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613841873,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=524883347,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=594987576,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=405111446,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=016532,https://danjuanfunds.com/funding/016532
016533,嘉实纳斯达克100交易型开放式指数证券投资基金发起式联接基金(QDII)C类人民币基金份额,嘉实纳斯达克100交易型开放式指数证券投资基金发起式联接基金C类人民币基金份额,qdii,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=016533,Mainland Securities Fund,4,2.1887,2026-05-27,-0.06,+8.97,+17.85,+13.96,+29.57,+14.91,2026-05-27,,,+51.63,+19.29,+14.84,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=609890998,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=652975706,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656941325,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613841873,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=524883347,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=594987604,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=405111446,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=016533,https://danjuanfunds.com/funding/016533
016604,国泰嘉睿纯债债券型证券投资基金C类,国泰嘉睿纯债债券型证券投资基金C类,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=016604,Mainland Securities Fund,3,1.0742,2026-05-28,+0.03,+0.33,+0.99,+1.43,+1.23,+1.52,2026-05-28,,,+3.38,+8.99,-0.23,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632715729,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=652948492,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656941252,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=614260088,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=534260912,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632717792,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=658050744,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=016604,https://danjuanfunds.com/funding/016604
016630,[仅电子渠道]易方达中证1000交易型开放式指数证券投资基金联接基金A类,易方达中证1000交易型开放式指数证券投资基金联接基金A类,online_only,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=016630,Mainland Securities Fund,4,1.2295,2026-05-28,+1.06,+4.90,+1.43,+18.21,+45.21,+13.78,2026-05-28,,,,-0.84,+28.37,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=620162815,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653266501,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656818194,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=614557363,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=580019908,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=661276601,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=422649725,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=016630,https://danjuanfunds.com/funding/016630
